name l_deg b_deg ra_deg dec_deg
high 0.0 85.0 197.46441300863182 24.33554243027582
med 0.0 40.0 233.01733592061052 -4.447088188407342
low 0.0 10.0 257.11044958320826 -23.40973217864059
Baade 1.02 -3.92 270.88380338652223 -30.035274475954893
inLMC 280.46522149663633 -32.88840179258582 80.89416667 -69.75611111
inSMC 302.8083890757778 -44.32768789476316 13.15833333 -72.80027778
aroundLMC 299.7933935547725 -41.53321041969505 22.195833333333333 -75.36666666666666
aroundSMC 280.9577755577122 -37.67486717046375 67.61666666666666 -68.73805555555556
Pleiades 166.57066283327828 -23.521167791297835 56.75 24.11666667
